onset	duration	temperature	ratings	regulate-up/down
2064.217	12.5	44.300000	n/a	n/a
2084.244	11.0	n/a	45.000000	n/a
2104.472	12.5	44.300000	n/a	n/a
2122.505	11.0	n/a	117.000000	n/a
2138.727	12.5	43.300000	n/a	n/a
2158.754	11.0	n/a	20.000000	n/a
2176.987	12.5	46.300000	n/a	n/a
2195.004	11.0	n/a	135.000000	n/a
2213.237	12.5	44.300000	n/a	n/a
2230.256	11.0	n/a	27.000000	n/a
2249.486	12.5	45.300000	n/a	n/a
2266.489	11.0	n/a	5.000000	n/a
2285.719	12.5	47.300000	n/a	n/a
2304.733	11.0	n/a	156.000000	n/a
2321.969	12.5	43.300000	n/a	n/a
2340.999	11.0	n/a	11.000000	n/a
2359.226	12.5	47.300000	n/a	n/a
2378.24	11.0	n/a	162.000000	n/a
2396.473	12.5	45.300000	n/a	n/a
2417.498	11.0	n/a	110.000000	n/a
2434.733	12.5	46.300000	n/a	n/a
2452.75	11.0	n/a	130.000000	n/a
