onset	duration	temperature	ratings	regulate-up/down
2864.216	12.5	43.300000	n/a	n/a
2882.249	11.0	n/a	123.000000	n/a
2899.485	12.5	42.300000	n/a	n/a
2918.515	11.0	n/a	10.000000	n/a
2938.743	12.5	44.300000	n/a	n/a
2957.773	11.0	n/a	40.000000	n/a
2976.006	12.5	43.300000	n/a	n/a
2995.02	11.0	n/a	5.000000	n/a
3013.253	12.5	46.300000	n/a	n/a
3031.286	11.0	n/a	120.000000	n/a
3048.522	12.5	46.300000	n/a	n/a
3068.549	11.0	n/a	110.000000	n/a
3084.771	12.5	44.300000	n/a	n/a
3101.774	11.0	n/a	5.000000	n/a
3119.01	12.5	42.300000	n/a	n/a
3137.043	11.0	n/a	2.000000	n/a
3156.273	12.5	43.300000	n/a	n/a
3176.301	11.0	n/a	3.000000	n/a
3195.531	12.5	45.300000	n/a	n/a
3216.556	11.0	n/a	103.000000	n/a
3234.789	12.5	45.300000	n/a	n/a
3251.808	11.0	n/a	50.000000	n/a
