onset	duration	temperature	ratings	regulate-up/down
3282.216	12.5	46.300000	n/a	n/a
3302.227	11.0	n/a	106.000000	n/a
3319.463	12.5	46.300000	n/a	n/a
3338.493	11.0	n/a	95.000000	n/a
3356.726	12.5	44.300000	n/a	n/a
3373.745	11.0	n/a	12.000000	n/a
3390.981	12.5	46.300000	n/a	n/a
3412.006	11.0	n/a	101.000000	n/a
3431.236	12.5	45.300000	n/a	n/a
3449.269	11.0	n/a	8.000000	n/a
3465.491	12.5	45.300000	n/a	n/a
3484.521	11.0	n/a	14.000000	n/a
3502.754	12.5	44.300000	n/a	n/a
3520.787	11.0	n/a	2.000000	n/a
3538.023	12.5	42.300000	n/a	n/a
3557.053	11.0	n/a	7.000000	n/a
3577.28	12.5	43.300000	n/a	n/a
3594.283	11.0	n/a	14.000000	n/a
3613.513	12.5	43.300000	n/a	n/a
3631.53	11.0	n/a	1.000000	n/a
3649.763	12.5	42.300000	n/a	n/a
3669.79	11.0	n/a	3.000000	n/a
