onset	duration	temperature	ratings	regulate-up/down
2864.216	12.5	43.300000	n/a	n/a
2882.249	11.0	n/a	72.000000	n/a
2899.485	12.5	43.300000	n/a	n/a
2918.515	11.0	n/a	50.000000	n/a
2937.745	12.5	46.300000	n/a	n/a
2955.762	11.0	n/a	103.000000	n/a
2973.994	12.5	42.300000	n/a	n/a
2993.008	11.0	n/a	17.000000	n/a
3011.241	12.5	43.300000	n/a	n/a
3028.244	11.0	n/a	58.000000	n/a
3048.471	12.5	44.300000	n/a	n/a
3069.479	11.0	n/a	40.000000	n/a
3087.712	12.5	45.300000	n/a	n/a
3107.723	11.0	n/a	88.000000	n/a
3124.959	12.5	42.300000	n/a	n/a
3144.987	11.0	n/a	8.000000	n/a
3164.216	12.5	45.300000	n/a	n/a
3182.233	11.0	n/a	43.000000	n/a
3200.466	12.5	44.300000	n/a	n/a
3219.496	11.0	n/a	33.000000	n/a
3235.718	12.5	46.300000	n/a	n/a
3252.721	11.0	n/a	101.000000	n/a
