onset	duration	temperature	ratings	regulate-up/down
428.216	12.5	45.300000	n/a	n/a
446.233	11.0	n/a	147.000000	n/a
465.463	12.5	45.300000	n/a	n/a
485.491	11.0	n/a	126.000000	n/a
503.723	12.5	43.300000	n/a	n/a
522.737	11.0	n/a	82.000000	n/a
539.973	12.5	42.300000	n/a	n/a
556.992	11.0	n/a	42.000000	n/a
575.225	12.5	42.300000	n/a	n/a
593.242	11.0	n/a	60.000000	n/a
610.478	12.5	46.300000	n/a	n/a
628.511	11.0	n/a	163.000000	n/a
647.741	12.5	44.300000	n/a	n/a
668.766	11.0	n/a	114.000000	n/a
686.001	12.5	44.300000	n/a	n/a
705.015	11.0	n/a	109.000000	n/a
721.237	12.5	43.300000	n/a	n/a
738.24	11.0	n/a	106.000000	n/a
756.473	12.5	46.300000	n/a	n/a
776.501	11.0	n/a	153.000000	n/a
794.733	12.5	45.300000	n/a	n/a
813.747	11.0	n/a	16.000000	n/a
