onset	duration	temperature	ratings	regulate-up/down
3282.217	12.5	42.300000	n/a	n/a
3301.247	11.0	n/a	72.000000	n/a
3319.48	12.5	42.300000	n/a	n/a
3338.494	11.0	n/a	33.000000	n/a
3355.73	12.5	43.300000	n/a	n/a
3372.749	11.0	n/a	36.000000	n/a
3389.985	12.5	44.300000	n/a	n/a
3410.012	11.0	n/a	73.000000	n/a
3427.248	12.5	45.300000	n/a	n/a
3446.279	11.0	n/a	106.000000	n/a
3464.511	12.5	43.300000	n/a	n/a
3482.528	11.0	n/a	56.000000	n/a
3501.758	12.5	45.300000	n/a	n/a
3522.767	11.0	n/a	90.000000	n/a
3540.999	12.5	44.300000	n/a	n/a
3558.002	11.0	n/a	41.000000	n/a
3576.235	12.5	46.300000	n/a	n/a
3596.263	11.0	n/a	115.000000	n/a
3616.49	12.5	42.300000	n/a	n/a
3634.507	11.0	n/a	11.000000	n/a
3653.737	12.5	46.300000	n/a	n/a
3671.77	11.0	n/a	123.000000	n/a
