onset	duration	temperature	ratings	regulate-up/down
3282.216	12.5	44.300000	n/a	n/a
3303.225	11.0	n/a	104.000000	n/a
3320.46	12.5	45.300000	n/a	n/a
3337.463	11.0	n/a	3.000000	n/a
3355.696	12.5	44.300000	n/a	n/a
3372.699	11.0	n/a	4.000000	n/a
3391.929	12.5	42.300000	n/a	n/a
3411.957	11.0	n/a	4.000000	n/a
3428.178	12.5	43.300000	n/a	n/a
3448.19	11.0	n/a	4.000000	n/a
3465.425	12.5	44.300000	n/a	n/a
3483.442	11.0	n/a	2.000000	n/a
3502.672	12.5	43.300000	n/a	n/a
3520.689	11.0	n/a	3.000000	n/a
3537.924	12.5	46.300000	n/a	n/a
3555.941	11.0	n/a	103.000000	n/a
3574.174	12.5	45.300000	n/a	n/a
3593.204	11.0	n/a	3.000000	n/a
3611.437	12.5	46.300000	n/a	n/a
3630.451	11.0	n/a	103.000000	n/a
3650.678	12.5	42.300000	n/a	n/a
3669.692	11.0	n/a	3.000000	n/a
