onset	duration	temperature	ratings	regulate-up/down
1646.216	12.5	47.300000	n/a	n/a
1665.23	11.0	n/a	154.000000	n/a
1682.466	12.5	47.300000	n/a	n/a
1702.493	11.0	n/a	122.000000	n/a
1720.726	12.5	46.300000	n/a	n/a
1741.735	11.0	n/a	3.000000	n/a
1757.956	12.5	44.300000	n/a	n/a
1776.97	11.0	n/a	2.000000	n/a
1795.203	12.5	43.300000	n/a	n/a
1812.206	11.0	n/a	1.000000	n/a
1831.436	12.5	46.300000	n/a	n/a
1849.453	11.0	n/a	103.000000	n/a
1866.688	12.5	43.300000	n/a	n/a
1885.702	11.0	n/a	1.000000	n/a
1903.935	12.5	45.300000	n/a	n/a
1923.946	11.0	n/a	4.000000	n/a
1941.182	12.5	47.300000	n/a	n/a
1959.199	11.0	n/a	109.000000	n/a
1978.429	12.5	44.300000	n/a	n/a
1996.462	11.0	n/a	2.000000	n/a
2014.695	12.5	45.300000	n/a	n/a
2031.714	11.0	n/a	4.000000	n/a
