onset	duration	temperature	ratings	regulate-up/down
2064.215	12.5	44.300000	n/a	n/a
2085.224	11.0	n/a	107.000000	n/a
2105.451	12.5	43.300000	n/a	n/a
2125.462	11.0	n/a	76.000000	n/a
2143.695	12.5	45.300000	n/a	n/a
2162.709	11.0	n/a	65.000000	n/a
2180.942	12.5	44.300000	n/a	n/a
2198.975	11.0	n/a	41.000000	n/a
2216.211	12.5	46.300000	n/a	n/a
2236.239	11.0	n/a	150.000000	n/a
2253.474	12.5	47.300000	n/a	n/a
2272.488	11.0	n/a	178.000000	n/a
2291.718	12.5	44.300000	n/a	n/a
2309.751	11.0	n/a	51.000000	n/a
2328.981	12.5	43.300000	n/a	n/a
2347.995	11.0	n/a	11.000000	n/a
2364.217	12.5	46.300000	n/a	n/a
2381.22	11.0	n/a	159.000000	n/a
2399.453	12.5	47.300000	n/a	n/a
2417.486	11.0	n/a	180.000000	n/a
2434.722	12.5	45.300000	n/a	n/a
2451.741	11.0	n/a	112.000000	n/a
