onset	duration	temperature	ratings	regulate-up/down
1228.216	12.5	42.300000	n/a	n/a
1245.235	11.0	n/a	110.000000	n/a
1262.471	12.5	43.300000	n/a	n/a
1283.496	11.0	n/a	73.000000	n/a
1301.729	12.5	44.300000	n/a	n/a
1318.748	11.0	n/a	71.000000	n/a
1335.984	12.5	44.300000	n/a	n/a
1354.017	11.0	n/a	23.000000	n/a
1373.247	12.5	42.300000	n/a	n/a
1393.258	11.0	n/a	24.000000	n/a
1411.491	12.5	42.300000	n/a	n/a
1429.508	11.0	n/a	34.000000	n/a
1447.741	12.5	46.300000	n/a	n/a
1466.771	11.0	n/a	171.000000	n/a
1485.004	12.5	46.300000	n/a	n/a
1504.018	11.0	n/a	177.000000	n/a
1521.253	12.5	45.300000	n/a	n/a
1541.265	11.0	n/a	156.000000	n/a
1560.495	12.5	45.300000	n/a	n/a
1579.525	11.0	n/a	111.000000	n/a
1599.753	12.5	43.300000	n/a	n/a
1617.786	11.0	n/a	8.000000	n/a
