onset	duration	temperature	ratings	regulate-up/down
428.216	12.5	45.300000	n/a	n/a
445.219	11.0	n/a	135.000000	n/a
463.452	12.5	45.300000	n/a	n/a
483.463	11.0	n/a	120.000000	n/a
501.696	12.5	44.300000	n/a	n/a
519.729	11.0	n/a	105.000000	n/a
536.965	12.5	43.300000	n/a	n/a
555.995	11.0	n/a	20.000000	n/a
573.231	12.5	43.300000	n/a	n/a
592.261	11.0	n/a	115.000000	n/a
608.483	12.5	46.300000	n/a	n/a
629.508	11.0	n/a	130.000000	n/a
648.738	12.5	42.300000	n/a	n/a
666.771	11.0	n/a	15.000000	n/a
685.004	12.5	44.300000	n/a	n/a
703.037	11.0	n/a	10.000000	n/a
721.27	12.5	42.300000	n/a	n/a
738.289	11.0	n/a	20.000000	n/a
757.519	12.5	45.300000	n/a	n/a
777.53	11.0	n/a	15.000000	n/a
794.766	12.5	46.300000	n/a	n/a
813.796	11.0	n/a	132.000000	n/a
