onset	duration	temperature	ratings	regulate-up/down
428.216	12.5	45.300000	n/a	n/a
446.233	11.0	n/a	173.000000	n/a
466.461	12.5	43.300000	n/a	n/a
484.494	11.0	n/a	107.000000	n/a
503.724	12.5	42.300000	n/a	n/a
522.738	11.0	n/a	81.000000	n/a
539.974	12.5	45.300000	n/a	n/a
560.999	11.0	n/a	127.000000	n/a
579.232	12.5	42.300000	n/a	n/a
596.251	11.0	n/a	130.000000	n/a
613.487	12.5	44.300000	n/a	n/a
632.517	11.0	n/a	116.000000	n/a
650.75	12.5	44.300000	n/a	n/a
668.767	11.0	n/a	115.000000	n/a
686.003	12.5	45.300000	n/a	n/a
706.031	11.0	n/a	125.000000	n/a
722.252	12.5	46.300000	n/a	n/a
742.264	11.0	n/a	181.000000	n/a
760.496	12.5	43.300000	n/a	n/a
777.499	11.0	n/a	20.000000	n/a
795.732	12.5	46.300000	n/a	n/a
814.746	11.0	n/a	185.000000	n/a
