onset	duration	temperature	ratings	regulate-up/down
2864.216	12.5	43.300000	n/a	n/a
2884.227	11.0	n/a	105.000000	n/a
2902.46	12.5	46.300000	n/a	n/a
2922.471	11.0	n/a	120.000000	n/a
2941.701	12.5	42.300000	n/a	n/a
2960.715	11.0	n/a	5.000000	n/a
2979.945	12.5	44.300000	n/a	n/a
2997.962	11.0	n/a	10.000000	n/a
3018.189	12.5	46.300000	n/a	n/a
3039.198	11.0	n/a	115.000000	n/a
3056.433	12.5	43.300000	n/a	n/a
3073.436	11.0	n/a	5.000000	n/a
3091.669	12.5	42.300000	n/a	n/a
3110.683	11.0	n/a	3.000000	n/a
3127.919	12.5	43.300000	n/a	n/a
3145.952	11.0	n/a	15.000000	n/a
3164.185	12.5	45.300000	n/a	n/a
3181.204	11.0	n/a	15.000000	n/a
3197.426	12.5	45.300000	n/a	n/a
3215.459	11.0	n/a	10.000000	n/a
3232.695	12.5	44.300000	n/a	n/a
3251.725	11.0	n/a	10.000000	n/a
