onset	duration	temperature	ratings	regulate-up/down
1646.217	12.5	43.300000	n/a	n/a
1663.236	11.0	n/a	60.000000	n/a
1681.469	12.5	47.300000	n/a	n/a
1699.502	11.0	n/a	180.000000	n/a
1717.735	12.5	43.300000	n/a	n/a
1735.752	11.0	n/a	15.000000	n/a
1753.985	12.5	46.300000	n/a	n/a
1774.013	11.0	n/a	130.000000	n/a
1792.246	12.5	47.300000	n/a	n/a
1809.265	11.0	n/a	170.000000	n/a
1828.495	12.5	45.300000	n/a	n/a
1847.509	11.0	n/a	115.000000	n/a
1864.745	12.5	46.300000	n/a	n/a
1882.778	11.0	n/a	125.000000	n/a
1902.008	12.5	43.300000	n/a	n/a
1922.02	11.0	n/a	20.000000	n/a
1939.255	12.5	44.300000	n/a	n/a
1958.269	11.0	n/a	10.000000	n/a
1978.497	12.5	44.300000	n/a	n/a
1999.522	11.0	n/a	9.000000	n/a
2016.757	12.5	45.300000	n/a	n/a
2035.771	11.0	n/a	50.000000	n/a
