onset	duration	temperature	ratings	regulate-up/down
1228.216	12.5	44.300000	n/a	n/a
1246.249	11.0	n/a	178.000000	n/a
1263.485	12.5	45.300000	n/a	n/a
1280.504	11.0	n/a	175.000000	n/a
1300.732	12.5	44.300000	n/a	n/a
1317.751	11.0	n/a	140.000000	n/a
1336.981	12.5	46.300000	n/a	n/a
1354.998	11.0	n/a	181.000000	n/a
1372.234	12.5	42.300000	n/a	n/a
1391.264	11.0	n/a	136.000000	n/a
1407.486	12.5	44.300000	n/a	n/a
1427.497	11.0	n/a	141.000000	n/a
1445.73	12.5	42.300000	n/a	n/a
1464.744	11.0	n/a	143.000000	n/a
1482.977	12.5	43.300000	n/a	n/a
1501.991	11.0	n/a	138.000000	n/a
1521.221	12.5	45.300000	n/a	n/a
1539.238	11.0	n/a	143.000000	n/a
1557.471	12.5	43.300000	n/a	n/a
1577.499	11.0	n/a	150.000000	n/a
1595.732	12.5	46.300000	n/a	n/a
1616.757	11.0	n/a	181.000000	n/a
