onset	duration	temperature	ratings	regulate-up/down
2064.216	12.5	44.300000	n/a	n/a
2083.23	11.0	n/a	180.000000	n/a
2101.463	12.5	45.300000	n/a	n/a
2119.48	11.0	n/a	175.000000	n/a
2136.715	12.5	43.300000	n/a	n/a
2155.729	11.0	n/a	172.000000	n/a
2173.962	12.5	43.300000	n/a	n/a
2193.974	11.0	n/a	135.000000	n/a
2214.201	12.5	46.300000	n/a	n/a
2234.229	11.0	n/a	189.000000	n/a
2251.464	12.5	46.300000	n/a	n/a
2269.481	11.0	n/a	183.000000	n/a
2287.714	12.5	47.300000	n/a	n/a
2304.717	11.0	n/a	195.000000	n/a
2323.947	12.5	44.300000	n/a	n/a
2341.964	11.0	n/a	164.000000	n/a
2361.194	12.5	44.300000	n/a	n/a
2382.202	11.0	n/a	160.000000	n/a
2399.438	12.5	47.300000	n/a	n/a
2418.452	11.0	n/a	196.000000	n/a
2436.685	12.5	45.300000	n/a	n/a
2453.704	11.0	n/a	182.000000	n/a
