onset	duration	temperature	ratings	regulate-up/down
428.216	12.5	45.300000	n/a	n/a
448.228	11.0	n/a	175.000000	n/a
466.46	12.5	45.300000	n/a	n/a
483.463	11.0	n/a	135.000000	n/a
501.696	12.5	46.300000	n/a	n/a
518.699	11.0	n/a	165.000000	n/a
538.926	12.5	46.300000	n/a	n/a
556.943	11.0	n/a	125.000000	n/a
574.178	12.5	43.300000	n/a	n/a
593.192	11.0	n/a	50.000000	n/a
611.425	12.5	43.300000	n/a	n/a
630.439	11.0	n/a	80.000000	n/a
649.669	12.5	44.300000	n/a	n/a
669.68	11.0	n/a	95.000000	n/a
685.902	12.5	45.300000	n/a	n/a
703.919	11.0	n/a	120.000000	n/a
722.152	12.5	42.300000	n/a	n/a
743.177	11.0	n/a	0.000000	n/a
760.412	12.5	42.300000	n/a	n/a
778.429	11.0	n/a	15.000000	n/a
795.664	12.5	44.300000	n/a	n/a
814.678	11.0	n/a	30.000000	n/a
