onset	duration	temperature	ratings	regulate-up/down
1228.216	12.5	42.300000	n/a	n/a
1247.246	11.0	n/a	170.000000	n/a
1265.479	12.5	42.300000	n/a	n/a
1282.482	11.0	n/a	59.000000	n/a
1300.715	12.5	46.300000	n/a	n/a
1318.748	11.0	n/a	192.000000	n/a
1336.981	12.5	46.300000	n/a	n/a
1356.992	11.0	n/a	194.000000	n/a
1374.228	12.5	45.300000	n/a	n/a
1392.261	11.0	n/a	165.000000	n/a
1412.488	12.5	44.300000	n/a	n/a
1430.505	11.0	n/a	115.000000	n/a
1447.741	12.5	44.300000	n/a	n/a
1468.766	11.0	n/a	110.000000	n/a
1486.001	12.5	43.300000	n/a	n/a
1505.015	11.0	n/a	40.000000	n/a
1523.248	12.5	45.300000	n/a	n/a
1540.267	11.0	n/a	145.000000	n/a
1556.489	12.5	43.300000	n/a	n/a
1576.5	11.0	n/a	20.000000	n/a
1595.73	12.5	42.300000	n/a	n/a
1614.744	11.0	n/a	10.000000	n/a
