onset	duration	temperature	ratings	regulate-up/down
1646.217	12.5	45.300000	n/a	n/a
1663.236	11.0	n/a	116.000000	n/a
1680.472	12.5	46.300000	n/a	n/a
1700.5	11.0	n/a	116.000000	n/a
1718.733	12.5	44.300000	n/a	n/a
1737.763	11.0	n/a	104.000000	n/a
1756.993	12.5	45.300000	n/a	n/a
1776.007	11.0	n/a	106.000000	n/a
1794.24	12.5	43.300000	n/a	n/a
1813.254	11.0	n/a	102.000000	n/a
1829.476	12.5	47.300000	n/a	n/a
1849.487	11.0	n/a	128.000000	n/a
1866.723	12.5	43.300000	n/a	n/a
1883.742	11.0	n/a	108.000000	n/a
1903.97	12.5	44.300000	n/a	n/a
1922.003	11.0	n/a	109.000000	n/a
1939.239	12.5	46.300000	n/a	n/a
1960.264	11.0	n/a	114.000000	n/a
1979.494	12.5	47.300000	n/a	n/a
1997.511	11.0	n/a	124.000000	n/a
2015.744	12.5	45.300000	n/a	n/a
2033.777	11.0	n/a	115.000000	n/a
