onset	duration	temperature	ratings	regulate-up/down
3282.216	12.5	46.300000	n/a	n/a
3301.231	11.0	n/a	114.000000	n/a
3319.463	12.5	46.300000	n/a	n/a
3339.475	11.0	n/a	114.000000	n/a
3356.71	12.5	43.300000	n/a	n/a
3376.722	11.0	n/a	42.000000	n/a
3394.954	12.5	42.300000	n/a	n/a
3411.957	11.0	n/a	48.000000	n/a
3431.187	12.5	44.300000	n/a	n/a
3450.201	11.0	n/a	68.000000	n/a
3469.431	12.5	44.300000	n/a	n/a
3487.448	11.0	n/a	78.000000	n/a
3504.684	12.5	45.300000	n/a	n/a
3522.717	11.0	n/a	87.000000	n/a
3542.945	12.5	45.300000	n/a	n/a
3560.978	11.0	n/a	96.000000	n/a
3579.211	12.5	43.300000	n/a	n/a
3598.242	11.0	n/a	48.000000	n/a
3616.474	12.5	42.300000	n/a	n/a
3637.483	11.0	n/a	46.000000	n/a
3653.705	12.5	46.300000	n/a	n/a
3670.724	11.0	n/a	110.000000	n/a
