onset	duration	temperature	ratings	regulate-up/down
2064.216	12.5	43.400000	n/a	n/a
2084.227	11.0	n/a	144.000000	n/a
2101.463	12.5	44.700000	n/a	n/a
2119.496	11.0	n/a	150.000000	n/a
2139.723	12.5	43.400000	n/a	n/a
2157.74	11.0	n/a	120.000000	n/a
2176.97	12.5	42.100000	n/a	n/a
2195.984	11.0	n/a	19.000000	n/a
2212.206	12.5	46.000000	n/a	n/a
2229.225	11.0	n/a	165.000000	n/a
2247.458	12.5	47.300000	n/a	n/a
2266.488	11.0	n/a	172.000000	n/a
2284.721	12.5	43.400000	n/a	n/a
2302.738	11.0	n/a	141.000000	n/a
2321.968	12.5	44.700000	n/a	n/a
2341.995	11.0	n/a	114.000000	n/a
2359.231	12.5	42.100000	n/a	n/a
2380.256	11.0	n/a	28.000000	n/a
2398.489	12.5	47.300000	n/a	n/a
2417.519	11.0	n/a	175.000000	n/a
2434.755	12.5	46.000000	n/a	n/a
2451.774	11.0	n/a	166.000000	n/a
