onset	duration	temperature	ratings	regulate-up/down
1646.216	12.5	47.300000	n/a	n/a
1666.244	11.0	n/a	190.000000	n/a
1683.479	12.5	47.300000	n/a	n/a
1704.488	11.0	n/a	186.000000	n/a
1721.723	12.5	45.300000	n/a	n/a
1740.737	11.0	n/a	161.000000	n/a
1758.97	12.5	44.300000	n/a	n/a
1778.982	11.0	n/a	66.000000	n/a
1796.217	12.5	44.300000	n/a	n/a
1814.234	11.0	n/a	16.000000	n/a
1832.467	12.5	46.300000	n/a	n/a
1849.486	11.0	n/a	120.000000	n/a
1865.708	12.5	43.300000	n/a	n/a
1883.725	11.0	n/a	52.000000	n/a
1901.958	12.5	43.300000	n/a	n/a
1920.988	11.0	n/a	40.000000	n/a
1941.216	12.5	47.300000	n/a	n/a
1960.246	11.0	n/a	194.000000	n/a
1979.476	12.5	46.300000	n/a	n/a
1996.479	11.0	n/a	182.000000	n/a
2015.709	12.5	45.300000	n/a	n/a
2033.726	11.0	n/a	111.000000	n/a
