onset	duration	temperature	ratings	regulate-up/down
3282.216	12.5	42.300000	n/a	n/a
3301.247	11.0	n/a	95.000000	n/a
3318.482	12.5	42.300000	n/a	n/a
3336.499	11.0	n/a	38.000000	n/a
3353.735	12.5	44.300000	n/a	n/a
3373.762	11.0	n/a	88.000000	n/a
3391.995	12.5	43.300000	n/a	n/a
3410.012	11.0	n/a	30.000000	n/a
3428.245	12.5	44.300000	n/a	n/a
3445.248	11.0	n/a	81.000000	n/a
3464.478	12.5	45.300000	n/a	n/a
3482.495	11.0	n/a	121.000000	n/a
3501.725	12.5	45.300000	n/a	n/a
3520.755	11.0	n/a	67.000000	n/a
3538.988	12.5	46.300000	n/a	n/a
3559.997	11.0	n/a	161.000000	n/a
3577.232	12.5	46.300000	n/a	n/a
3597.244	11.0	n/a	157.000000	n/a
3613.465	12.5	42.300000	n/a	n/a
3630.468	11.0	n/a	23.000000	n/a
3650.696	12.5	43.300000	n/a	n/a
3669.726	11.0	n/a	5.000000	n/a
