onset	duration	temperature	ratings	regulate-up/down
1228.217	12.5	44.300000	n/a	n/a
1247.247	11.0	n/a	116.000000	n/a
1264.483	12.5	45.300000	n/a	n/a
1282.516	11.0	n/a	118.000000	n/a
1300.749	12.5	43.300000	n/a	n/a
1317.752	11.0	n/a	104.000000	n/a
1335.985	12.5	44.300000	n/a	n/a
1355.016	11.0	n/a	106.000000	n/a
1371.237	12.5	42.300000	n/a	n/a
1390.251	11.0	n/a	108.000000	n/a
1410.479	12.5	46.300000	n/a	n/a
1430.506	11.0	n/a	122.000000	n/a
1449.737	12.5	42.300000	n/a	n/a
1470.762	11.0	n/a	104.000000	n/a
1487.997	12.5	43.300000	n/a	n/a
1505.0	11.0	n/a	105.000000	n/a
1522.236	12.5	45.300000	n/a	n/a
1542.264	11.0	n/a	110.000000	n/a
1560.497	12.5	46.300000	n/a	n/a
1578.53	11.0	n/a	123.000000	n/a
1597.76	12.5	44.300000	n/a	n/a
1615.777	11.0	n/a	112.000000	n/a
