onset	duration	temperature	ratings	regulate-up/down
3282.217	12.5	46.300000	n/a	n/a
3300.25	11.0	n/a	195.000000	n/a
3317.486	12.5	46.300000	n/a	n/a
3338.511	11.0	n/a	180.000000	n/a
3357.741	12.5	46.300000	n/a	n/a
3374.76	11.0	n/a	182.000000	n/a
3390.982	12.5	45.300000	n/a	n/a
3409.996	11.0	n/a	168.000000	n/a
3429.226	12.5	44.300000	n/a	n/a
3447.243	11.0	n/a	142.000000	n/a
3465.476	12.5	44.300000	n/a	n/a
3484.507	11.0	n/a	129.000000	n/a
3502.739	12.5	43.300000	n/a	n/a
3522.751	11.0	n/a	120.000000	n/a
3539.986	12.5	43.300000	n/a	n/a
3559.0	11.0	n/a	126.000000	n/a
3577.233	12.5	42.300000	n/a	n/a
3597.244	11.0	n/a	128.000000	n/a
3617.472	12.5	45.300000	n/a	n/a
3634.491	11.0	n/a	154.000000	n/a
3651.727	12.5	42.300000	n/a	n/a
3669.744	11.0	n/a	110.000000	n/a
