onset	duration	temperature	ratings	regulate-up/down
1646.216	12.5	47.300000	n/a	n/a
1666.244	11.0	n/a	140.000000	n/a
1683.479	12.5	47.300000	n/a	n/a
1700.482	11.0	n/a	130.000000	n/a
1718.715	12.5	45.300000	n/a	n/a
1737.729	11.0	n/a	115.000000	n/a
1755.962	12.5	45.300000	n/a	n/a
1772.981	11.0	n/a	110.000000	n/a
1789.203	12.5	46.300000	n/a	n/a
1810.228	11.0	n/a	120.000000	n/a
1830.455	12.5	47.300000	n/a	n/a
1849.469	11.0	n/a	140.000000	n/a
1866.705	12.5	44.300000	n/a	n/a
1886.733	11.0	n/a	110.000000	n/a
1904.965	12.5	46.300000	n/a	n/a
1923.979	11.0	n/a	130.000000	n/a
1941.215	12.5	43.300000	n/a	n/a
1959.248	11.0	n/a	115.000000	n/a
1978.478	12.5	43.300000	n/a	n/a
1996.495	11.0	n/a	110.000000	n/a
2014.728	12.5	44.300000	n/a	n/a
2032.761	11.0	n/a	105.000000	n/a
