onset	duration	temperature	ratings	regulate-up/down
3282.216	12.5	42.300000	n/a	n/a
3303.241	11.0	n/a	105.000000	n/a
3323.468	12.5	43.300000	n/a	n/a
3342.482	11.0	n/a	100.000000	n/a
3360.715	12.5	43.300000	n/a	n/a
3378.748	11.0	n/a	100.000000	n/a
3395.984	12.5	45.300000	n/a	n/a
3415.014	11.0	n/a	110.000000	n/a
3431.236	12.5	45.300000	n/a	n/a
3449.253	11.0	n/a	105.000000	n/a
3467.486	12.5	44.300000	n/a	n/a
3487.513	11.0	n/a	100.000000	n/a
3505.746	12.5	44.300000	n/a	n/a
3525.757	11.0	n/a	105.000000	n/a
3542.993	12.5	46.300000	n/a	n/a
3559.996	11.0	n/a	120.000000	n/a
3579.226	12.5	46.300000	n/a	n/a
3597.243	11.0	n/a	120.000000	n/a
3614.478	12.5	42.300000	n/a	n/a
3633.492	11.0	n/a	95.000000	n/a
3651.725	12.5	42.300000	n/a	n/a
3668.744	11.0	n/a	90.000000	n/a
