onset	duration	temperature	ratings	regulate-up/down
428.216	12.5	45.300000	n/a	n/a
446.249	11.0	n/a	109.000000	n/a
464.482	12.5	45.300000	n/a	n/a
483.496	11.0	n/a	90.000000	n/a
502.726	12.5	43.300000	n/a	n/a
521.756	11.0	n/a	33.000000	n/a
539.989	12.5	46.300000	n/a	n/a
556.992	11.0	n/a	102.000000	n/a
573.214	12.5	44.300000	n/a	n/a
593.241	11.0	n/a	90.000000	n/a
612.471	12.5	44.300000	n/a	n/a
629.474	11.0	n/a	49.000000	n/a
646.71	12.5	43.300000	n/a	n/a
666.737	11.0	n/a	15.000000	n/a
684.97	12.5	42.300000	n/a	n/a
703.984	11.0	n/a	21.000000	n/a
722.217	12.5	42.300000	n/a	n/a
740.25	11.0	n/a	9.000000	n/a
760.477	12.5	46.300000	n/a	n/a
778.494	11.0	n/a	106.000000	n/a
795.729	12.5	45.300000	n/a	n/a
816.738	11.0	n/a	101.000000	n/a
