onset	duration	temperature	ratings	regulate-up/down
2864.216	12.5	43.300000	n/a	n/a
2882.233	11.0	n/a	110.000000	n/a
2901.463	12.5	43.300000	n/a	n/a
2918.466	11.0	n/a	5.000000	n/a
2936.699	12.5	42.300000	n/a	n/a
2955.729	11.0	n/a	20.000000	n/a
2975.957	12.5	46.300000	n/a	n/a
2993.99	11.0	n/a	155.000000	n/a
3012.223	12.5	44.300000	n/a	n/a
3032.25	11.0	n/a	40.000000	n/a
3048.472	12.5	44.300000	n/a	n/a
3067.486	11.0	n/a	20.000000	n/a
3084.722	12.5	43.300000	n/a	n/a
3104.749	11.0	n/a	34.000000	n/a
3121.985	12.5	45.300000	n/a	n/a
3142.993	11.0	n/a	30.000000	n/a
3161.226	12.5	46.300000	n/a	n/a
3179.243	11.0	n/a	150.000000	n/a
3198.473	12.5	45.300000	n/a	n/a
3215.476	11.0	n/a	0.000000	n/a
3233.709	12.5	42.300000	n/a	n/a
3252.739	11.0	n/a	15.000000	n/a
