onset	duration	temperature	ratings	regulate-up/down
2864.216	12.5	43.300000	n/a	n/a
2883.23	11.0	n/a	82.000000	n/a
2900.466	12.5	45.300000	n/a	n/a
2918.499	11.0	n/a	102.000000	n/a
2935.735	12.5	46.300000	n/a	n/a
2953.768	11.0	n/a	104.000000	n/a
2971.004	12.5	43.300000	n/a	n/a
2991.031	11.0	n/a	30.000000	n/a
3009.264	12.5	44.300000	n/a	n/a
3028.278	11.0	n/a	30.000000	n/a
3047.508	12.5	42.300000	n/a	n/a
3068.517	11.0	n/a	10.000000	n/a
3086.749	12.5	43.300000	n/a	n/a
3106.761	11.0	n/a	9.000000	n/a
3122.982	12.5	46.300000	n/a	n/a
3139.985	11.0	n/a	105.000000	n/a
3158.218	12.5	45.300000	n/a	n/a
3175.221	11.0	n/a	92.000000	n/a
3195.448	12.5	44.300000	n/a	n/a
3214.462	11.0	n/a	25.000000	n/a
3233.692	12.5	42.300000	n/a	n/a
3251.709	11.0	n/a	10.000000	n/a
