onset	duration	temperature	ratings	regulate-up/down
1646.216	12.5	45.300000	n/a	n/a
1663.219	11.0	n/a	106.000000	n/a
1681.452	12.5	44.300000	n/a	n/a
1699.469	11.0	n/a	0.000000	n/a
1717.702	12.5	44.300000	n/a	n/a
1736.732	11.0	n/a	0.000000	n/a
1755.962	12.5	43.300000	n/a	n/a
1773.979	11.0	n/a	0.000000	n/a
1794.206	12.5	46.300000	n/a	n/a
1815.215	11.0	n/a	112.000000	n/a
1832.45	12.5	47.300000	n/a	n/a
1850.467	11.0	n/a	145.000000	n/a
1869.697	12.5	47.300000	n/a	n/a
1888.711	11.0	n/a	142.000000	n/a
1905.946	12.5	46.300000	n/a	n/a
1924.96	11.0	n/a	106.000000	n/a
1943.193	12.5	43.300000	n/a	n/a
1960.196	11.0	n/a	102.000000	n/a
1977.432	12.5	45.300000	n/a	n/a
1997.459	11.0	n/a	105.000000	n/a
2015.692	12.5	45.300000	n/a	n/a
2035.703	11.0	n/a	106.000000	n/a
