onset	duration	temperature	ratings	regulate-up/down
3282.216	12.5	42.300000	n/a	n/a
3300.233	11.0	n/a	20.000000	n/a
3318.466	12.5	42.300000	n/a	n/a
3336.483	11.0	n/a	10.000000	n/a
3355.713	12.5	45.300000	n/a	n/a
3376.738	11.0	n/a	105.000000	n/a
3394.97	12.5	43.300000	n/a	n/a
3414.982	11.0	n/a	10.000000	n/a
3432.217	12.5	43.300000	n/a	n/a
3452.228	11.0	n/a	15.000000	n/a
3471.458	12.5	46.300000	n/a	n/a
3488.461	11.0	n/a	115.000000	n/a
3506.694	12.5	46.300000	n/a	n/a
3525.708	11.0	n/a	25.000000	n/a
3542.944	12.5	44.300000	n/a	n/a
3560.977	11.0	n/a	20.000000	n/a
3577.199	12.5	42.300000	n/a	n/a
3596.229	11.0	n/a	5.000000	n/a
3616.456	12.5	44.300000	n/a	n/a
3633.459	11.0	n/a	10.000000	n/a
3651.692	12.5	45.300000	n/a	n/a
3670.706	11.0	n/a	15.000000	n/a
