onset	duration	temperature	ratings	regulate-up/down
1228.216	12.5	44.300000	n/a	n/a
1247.246	11.0	n/a	124.000000	n/a
1264.482	12.5	42.300000	n/a	n/a
1281.501	11.0	n/a	110.000000	n/a
1297.724	12.5	46.300000	n/a	n/a
1318.748	11.0	n/a	148.000000	n/a
1338.975	12.5	42.300000	n/a	n/a
1356.992	11.0	n/a	8.000000	n/a
1376.222	12.5	45.300000	n/a	n/a
1394.239	11.0	n/a	124.000000	n/a
1411.474	12.5	43.300000	n/a	n/a
1431.486	11.0	n/a	115.000000	n/a
1450.716	12.5	45.300000	n/a	n/a
1469.746	11.0	n/a	117.000000	n/a
1487.979	12.5	44.300000	n/a	n/a
1504.982	11.0	n/a	113.000000	n/a
1523.215	12.5	44.000000	n/a	n/a
1541.248	11.0	n/a	132.000000	n/a
1559.481	12.5	46.300000	n/a	n/a
1578.511	11.0	n/a	136.000000	n/a
1595.747	12.5	43.300000	n/a	n/a
1615.758	11.0	n/a	137.000000	n/a
