onset	duration	temperature	ratings	regulate-up/down
3282.216	12.5	46.300000	n/a	n/a
3300.249	11.0	n/a	150.000000	n/a
3317.484	12.5	45.300000	n/a	n/a
3334.487	11.0	n/a	151.000000	n/a
3351.723	12.5	43.300000	n/a	n/a
3370.753	11.0	n/a	140.000000	n/a
3389.983	12.5	43.300000	n/a	n/a
3408.997	11.0	n/a	150.000000	n/a
3426.233	12.5	46.300000	n/a	n/a
3444.25	11.0	n/a	157.000000	n/a
3464.477	12.5	46.300000	n/a	n/a
3484.488	11.0	n/a	157.000000	n/a
3502.721	12.5	42.300000	n/a	n/a
3523.729	11.0	n/a	147.000000	n/a
3541.962	12.5	42.300000	n/a	n/a
3561.973	11.0	n/a	145.000000	n/a
3580.206	12.5	45.300000	n/a	n/a
3597.209	11.0	n/a	165.000000	n/a
3615.442	12.5	44.300000	n/a	n/a
3633.475	11.0	n/a	152.000000	n/a
3649.697	12.5	44.300000	n/a	n/a
3668.711	11.0	n/a	0.000000	n/a
