onset	duration	temperature	ratings	regulate-up/down
1646.216	12.5	45.300000	n/a	n/a
1663.219	11.0	n/a	124.000000	n/a
1681.452	12.5	43.300000	n/a	n/a
1700.482	11.0	n/a	122.000000	n/a
1717.718	12.5	47.300000	n/a	n/a
1734.737	11.0	n/a	150.000000	n/a
1752.97	12.5	43.300000	n/a	n/a
1772.981	11.0	n/a	133.000000	n/a
1792.211	12.5	46.300000	n/a	n/a
1810.228	11.0	n/a	147.000000	n/a
1827.464	12.5	44.300000	n/a	n/a
1845.497	11.0	n/a	136.000000	n/a
1861.719	12.5	46.300000	n/a	n/a
1882.744	11.0	n/a	146.000000	n/a
1901.974	12.5	45.300000	n/a	n/a
1921.004	11.0	n/a	144.000000	n/a
1941.232	12.5	45.300000	n/a	n/a
1960.262	11.0	n/a	142.000000	n/a
1978.495	12.5	47.300000	n/a	n/a
1996.504	11.0	n/a	155.000000	n/a
2013.739	12.5	44.300000	n/a	n/a
2033.751	11.0	n/a	147.000000	n/a
