onset	duration	temperature	ratings	regulate-up/down
2864.217	12.5	43.300000	n/a	n/a
2882.25	11.0	n/a	16.000000	n/a
2900.483	12.5	44.300000	n/a	n/a
2917.502	11.0	n/a	10.000000	n/a
2935.735	12.5	43.300000	n/a	n/a
2954.749	11.0	n/a	5.000000	n/a
2973.979	12.5	43.300000	n/a	n/a
2991.996	11.0	n/a	7.000000	n/a
3009.232	12.5	46.300000	n/a	n/a
3029.26	11.0	n/a	195.000000	n/a
3045.481	12.5	45.300000	n/a	n/a
3062.484	11.0	n/a	3.000000	n/a
3082.712	12.5	44.300000	n/a	n/a
3101.742	11.0	n/a	10.000000	n/a
3120.972	12.5	46.300000	n/a	n/a
3139.986	11.0	n/a	194.000000	n/a
3157.222	12.5	42.300000	n/a	n/a
3175.239	11.0	n/a	21.000000	n/a
3193.472	12.5	42.300000	n/a	n/a
3214.497	11.0	n/a	14.000000	n/a
3231.732	12.5	45.300000	n/a	n/a
3251.744	11.0	n/a	175.000000	n/a
