onset	duration	temperature	ratings	regulate-up/down
3282.216	12.5	44.300000	n/a	n/a
3303.225	11.0	n/a	120.000000	n/a
3320.46	12.5	45.300000	n/a	n/a
3337.463	11.0	n/a	130.000000	n/a
3355.696	12.5	45.300000	n/a	n/a
3373.713	11.0	n/a	115.000000	n/a
3389.935	12.5	43.300000	n/a	n/a
3409.962	11.0	n/a	5.000000	n/a
3429.193	12.5	46.300000	n/a	n/a
3446.212	11.0	n/a	150.000000	n/a
3463.448	12.5	44.300000	n/a	n/a
3483.476	11.0	n/a	65.000000	n/a
3501.708	12.5	42.300000	n/a	n/a
3519.725	11.0	n/a	15.000000	n/a
3537.958	12.5	42.300000	n/a	n/a
3556.972	11.0	n/a	30.000000	n/a
3577.199	12.5	44.300000	n/a	n/a
3596.213	11.0	n/a	40.000000	n/a
3614.446	12.5	43.300000	n/a	n/a
3633.46	11.0	n/a	2.000000	n/a
3652.69	12.5	46.300000	n/a	n/a
3670.707	11.0	n/a	140.000000	n/a
