onset	duration	temperature	ratings	regulate-up/down
1646.216	12.5	45.300000	n/a	n/a
1663.235	11.0	n/a	130.000000	n/a
1682.465	12.5	46.300000	n/a	n/a
1699.468	11.0	n/a	150.000000	n/a
1717.701	12.5	43.300000	n/a	n/a
1735.718	11.0	n/a	10.000000	n/a
1754.948	12.5	45.300000	n/a	n/a
1772.981	11.0	n/a	105.000000	n/a
1790.217	12.5	44.300000	n/a	n/a
1811.242	11.0	n/a	100.000000	n/a
1829.474	12.5	47.300000	n/a	n/a
1849.486	11.0	n/a	150.000000	n/a
1865.707	12.5	46.300000	n/a	n/a
1885.719	11.0	n/a	145.000000	n/a
1902.954	12.5	47.300000	n/a	n/a
1921.968	11.0	n/a	150.000000	n/a
1942.195	12.5	44.300000	n/a	n/a
1961.209	11.0	n/a	70.000000	n/a
1979.442	12.5	45.300000	n/a	n/a
1998.456	11.0	n/a	139.000000	n/a
2016.689	12.5	43.300000	n/a	n/a
2034.722	11.0	n/a	50.000000	n/a
