onset	duration	temperature	ratings	regulate-up/down
1228.216	12.5	42.300000	n/a	n/a
1245.235	11.0	n/a	110.000000	n/a
1265.462	12.5	42.300000	n/a	n/a
1284.476	11.0	n/a	80.000000	n/a
1302.709	12.5	46.300000	n/a	n/a
1323.718	11.0	n/a	140.000000	n/a
1340.953	12.5	42.300000	n/a	n/a
1359.967	11.0	n/a	90.000000	n/a
1377.203	12.5	45.300000	n/a	n/a
1397.231	11.0	n/a	105.000000	n/a
1414.466	12.5	46.300000	n/a	n/a
1431.469	11.0	n/a	130.000000	n/a
1449.702	12.5	43.300000	n/a	n/a
1467.735	11.0	n/a	30.000000	n/a
1486.965	12.5	43.300000	n/a	n/a
1504.982	11.0	n/a	30.000000	n/a
1523.215	12.5	45.300000	n/a	n/a
1541.248	11.0	n/a	104.000000	n/a
1559.481	12.5	44.300000	n/a	n/a
1579.509	11.0	n/a	20.000000	n/a
1598.739	12.5	44.300000	n/a	n/a
1617.769	11.0	n/a	21.000000	n/a
