onset	duration	temperature	ratings	regulate-up/down
2064.216	12.5	44.300000	n/a	n/a
2083.247	11.0	n/a	82.000000	n/a
2102.477	12.5	45.300000	n/a	n/a
2120.51	11.0	n/a	29.000000	n/a
2140.737	12.5	47.300000	n/a	n/a
2157.74	11.0	n/a	142.000000	n/a
2175.973	12.5	45.300000	n/a	n/a
2195.003	11.0	n/a	0.000000	n/a
2212.239	12.5	43.300000	n/a	n/a
2230.272	11.0	n/a	10.000000	n/a
2247.508	12.5	46.300000	n/a	n/a
2265.541	11.0	n/a	29.000000	n/a
2283.774	12.5	44.300000	n/a	n/a
2304.782	11.0	n/a	8.000000	n/a
2323.015	12.5	47.300000	n/a	n/a
2342.029	11.0	n/a	142.000000	n/a
2358.251	12.5	46.300000	n/a	n/a
2378.279	11.0	n/a	35.000000	n/a
2396.511	12.5	44.300000	n/a	n/a
2413.514	11.0	n/a	6.000000	n/a
2430.75	12.5	43.300000	n/a	n/a
2450.778	11.0	n/a	2.000000	n/a
