onset	duration	temperature	ratings	regulate-up/down
3282.216	12.5	44.300000	n/a	n/a
3299.219	11.0	n/a	105.000000	n/a
3317.452	12.5	45.300000	n/a	n/a
3336.466	11.0	n/a	9.000000	n/a
3352.689	12.5	43.300000	n/a	n/a
3370.705	11.0	n/a	20.000000	n/a
3387.94	12.5	44.300000	n/a	n/a
3408.949	11.0	n/a	17.000000	n/a
3427.181	12.5	42.300000	n/a	n/a
3446.195	11.0	n/a	30.000000	n/a
3464.428	12.5	46.300000	n/a	n/a
3482.445	11.0	n/a	129.000000	n/a
3500.678	12.5	42.300000	n/a	n/a
3519.708	11.0	n/a	3.000000	n/a
3539.935	12.5	43.300000	n/a	n/a
3559.947	11.0	n/a	7.000000	n/a
3577.182	12.5	45.300000	n/a	n/a
3595.199	11.0	n/a	16.000000	n/a
3612.434	12.5	46.300000	n/a	n/a
3629.437	11.0	n/a	114.000000	n/a
3648.667	12.5	44.300000	n/a	n/a
3668.679	11.0	n/a	43.000000	n/a
