onset	duration	temperature	ratings	regulate-up/down
2064.216	12.5	44.300000	n/a	n/a
2081.235	11.0	n/a	106.000000	n/a
2098.471	12.5	46.300000	n/a	n/a
2118.498	11.0	n/a	115.000000	n/a
2138.726	12.5	43.300000	n/a	n/a
2157.756	11.0	n/a	77.000000	n/a
2174.992	12.5	46.300000	n/a	n/a
2194.022	11.0	n/a	116.000000	n/a
2212.255	12.5	44.300000	n/a	n/a
2229.274	11.0	n/a	102.000000	n/a
2247.507	12.5	47.300000	n/a	n/a
2268.515	11.0	n/a	128.000000	n/a
2285.751	12.5	45.300000	n/a	n/a
2305.779	11.0	n/a	106.000000	n/a
2325.009	12.5	44.300000	n/a	n/a
2344.039	11.0	n/a	95.000000	n/a
2363.269	12.5	43.300000	n/a	n/a
2381.286	11.0	n/a	86.000000	n/a
2399.518	12.5	45.300000	n/a	n/a
2417.535	11.0	n/a	90.000000	n/a
2435.768	12.5	47.300000	n/a	n/a
2453.801	11.0	n/a	125.000000	n/a
