onset	duration	temperature	ratings	regulate-up/down
2864.216	12.5	43.300000	n/a	n/a
2885.241	11.0	n/a	53.000000	n/a
2903.474	12.5	46.300000	n/a	n/a
2921.491	11.0	n/a	162.000000	n/a
2938.726	12.5	42.300000	n/a	n/a
2955.729	11.0	n/a	13.000000	n/a
2973.962	12.5	45.300000	n/a	n/a
2993.973	11.0	n/a	100.000000	n/a
3011.209	12.5	43.300000	n/a	n/a
3029.242	11.0	n/a	14.000000	n/a
3049.47	12.5	42.300000	n/a	n/a
3069.497	11.0	n/a	3.000000	n/a
3088.728	12.5	43.300000	n/a	n/a
3106.761	11.0	n/a	23.000000	n/a
3122.983	12.5	44.300000	n/a	n/a
3142.013	11.0	n/a	52.000000	n/a
3160.246	12.5	45.300000	n/a	n/a
3177.249	11.0	n/a	112.000000	n/a
3195.482	12.5	44.300000	n/a	n/a
3214.496	11.0	n/a	3.000000	n/a
3233.726	12.5	46.300000	n/a	n/a
3252.74	11.0	n/a	141.000000	n/a
