onset	duration	temperature	ratings	regulate-up/down
1228.217	12.5	44.300000	n/a	n/a
1247.247	11.0	n/a	119.000000	n/a
1267.475	12.5	46.300000	n/a	n/a
1285.508	11.0	n/a	149.000000	n/a
1303.741	12.5	43.300000	n/a	n/a
1321.774	11.0	n/a	21.000000	n/a
1337.996	12.5	43.300000	n/a	n/a
1354.999	11.0	n/a	7.000000	n/a
1373.232	12.5	42.300000	n/a	n/a
1394.257	11.0	n/a	0.000000	n/a
1412.49	12.5	45.300000	n/a	n/a
1429.509	11.0	n/a	62.000000	n/a
1446.745	12.5	44.300000	n/a	n/a
1464.762	11.0	n/a	9.000000	n/a
1482.995	12.5	44.300000	n/a	n/a
1503.022	11.0	n/a	30.000000	n/a
1522.253	12.5	42.300000	n/a	n/a
1541.283	11.0	n/a	9.000000	n/a
1558.519	12.5	45.300000	n/a	n/a
1578.547	11.0	n/a	0.000000	n/a
1597.777	12.5	46.300000	n/a	n/a
1616.807	11.0	n/a	132.000000	n/a
