onset	duration	temperature	ratings	regulate-up/down
3282.216	12.5	46.300000	n/a	n/a
3300.249	11.0	n/a	110.000000	n/a
3320.477	12.5	42.300000	n/a	n/a
3339.507	11.0	n/a	15.000000	n/a
3357.74	12.5	42.300000	n/a	n/a
3375.773	11.0	n/a	5.000000	n/a
3393.009	12.5	45.300000	n/a	n/a
3412.039	11.0	n/a	80.000000	n/a
3430.272	12.5	46.300000	n/a	n/a
3450.283	11.0	n/a	105.000000	n/a
3469.513	12.5	43.300000	n/a	n/a
3489.525	11.0	n/a	50.000000	n/a
3506.76	12.5	44.300000	n/a	n/a
3525.774	11.0	n/a	65.000000	n/a
3544.007	12.5	44.300000	n/a	n/a
3562.04	11.0	n/a	50.000000	n/a
3580.273	12.5	45.300000	n/a	n/a
3601.281	11.0	n/a	90.000000	n/a
3618.517	12.5	43.300000	n/a	n/a
3635.52	11.0	n/a	5.000000	n/a
3654.75	12.5	46.300000	n/a	n/a
3671.769	11.0	n/a	110.000000	n/a
