onset	duration	temperature	ratings	regulate-up/down
428.216	12.5	45.300000	n/a	n/a
447.23	11.0	n/a	185.000000	n/a
466.46	12.5	46.300000	n/a	n/a
485.474	11.0	n/a	167.000000	n/a
503.707	12.5	43.300000	n/a	n/a
523.734	11.0	n/a	133.000000	n/a
540.97	12.5	45.300000	n/a	n/a
559.003	11.0	n/a	14.000000	n/a
577.236	12.5	43.300000	n/a	n/a
595.253	11.0	n/a	12.000000	n/a
612.488	12.5	42.300000	n/a	n/a
630.521	11.0	n/a	7.000000	n/a
650.748	12.5	46.300000	n/a	n/a
667.751	11.0	n/a	155.000000	n/a
683.973	12.5	44.300000	n/a	n/a
703.003	11.0	n/a	14.000000	n/a
722.233	12.5	44.300000	n/a	n/a
742.245	11.0	n/a	2.000000	n/a
760.477	12.5	45.300000	n/a	n/a
777.48	11.0	n/a	36.000000	n/a
795.713	12.5	42.300000	n/a	n/a
816.738	11.0	n/a	1.000000	n/a
