onset	duration	temperature	ratings	regulate-up/down
2864.216	12.5	43.300000	n/a	n/a
2882.249	11.0	n/a	53.000000	n/a
2901.479	12.5	46.300000	n/a	n/a
2919.496	11.0	n/a	68.000000	n/a
2936.731	12.5	44.300000	n/a	n/a
2954.748	11.0	n/a	39.000000	n/a
2970.97	12.5	46.300000	n/a	n/a
2991.995	11.0	n/a	67.000000	n/a
3010.228	12.5	43.300000	n/a	n/a
3030.256	11.0	n/a	54.000000	n/a
3049.486	12.5	42.300000	n/a	n/a
3066.505	11.0	n/a	65.000000	n/a
3084.738	12.5	45.300000	n/a	n/a
3104.766	11.0	n/a	64.000000	n/a
3122.001	12.5	42.300000	n/a	n/a
3139.004	11.0	n/a	50.000000	n/a
3159.231	12.5	45.300000	n/a	n/a
3178.245	11.0	n/a	52.000000	n/a
3196.478	12.5	43.300000	n/a	n/a
3215.508	11.0	n/a	49.000000	n/a
3232.744	12.5	44.300000	n/a	n/a
3251.774	11.0	n/a	72.000000	n/a
