onset	duration	temperature	ratings	regulate-up/down
3282.216	12.5	42.300000	n/a	n/a
3301.246	11.0	n/a	72.000000	n/a
3319.479	12.5	44.300000	n/a	n/a
3338.493	11.0	n/a	61.000000	n/a
3354.716	12.5	42.300000	n/a	n/a
3372.748	11.0	n/a	49.000000	n/a
3389.984	12.5	45.300000	n/a	n/a
3407.003	11.0	n/a	96.000000	n/a
3426.233	12.5	46.300000	n/a	n/a
3446.244	11.0	n/a	130.000000	n/a
3464.477	12.5	43.300000	n/a	n/a
3483.491	11.0	n/a	55.000000	n/a
3503.718	12.5	44.300000	n/a	n/a
3524.727	11.0	n/a	32.000000	n/a
3542.96	12.5	46.300000	n/a	n/a
3559.979	11.0	n/a	127.000000	n/a
3578.212	12.5	43.300000	n/a	n/a
3596.245	11.0	n/a	46.000000	n/a
3613.481	12.5	45.300000	n/a	n/a
3633.509	11.0	n/a	41.000000	n/a
3650.744	12.5	42.300000	n/a	n/a
3668.761	11.0	n/a	19.000000	n/a
