onset	duration	temperature	ratings	regulate-up/down
2864.216	12.5	43.300000	n/a	n/a
2881.219	11.0	n/a	16.000000	n/a
2898.455	12.5	43.300000	n/a	n/a
2916.488	11.0	n/a	0.000000	n/a
2934.721	12.5	42.300000	n/a	n/a
2953.751	11.0	n/a	8.000000	n/a
2969.973	12.5	45.300000	n/a	n/a
2989.984	11.0	n/a	9.000000	n/a
3008.217	12.5	43.300000	n/a	n/a
3028.228	11.0	n/a	0.000000	n/a
3046.461	12.5	44.300000	n/a	n/a
3065.475	11.0	n/a	0.000000	n/a
3084.705	12.5	46.300000	n/a	n/a
3101.708	11.0	n/a	100.000000	n/a
3120.938	12.5	42.300000	n/a	n/a
3138.971	11.0	n/a	0.000000	n/a
3157.204	12.5	46.300000	n/a	n/a
3178.213	11.0	n/a	0.000000	n/a
3198.44	12.5	44.300000	n/a	n/a
3216.473	11.0	n/a	0.000000	n/a
3233.709	12.5	45.300000	n/a	n/a
3252.739	11.0	n/a	0.000000	n/a
