onset	duration	temperature	ratings	regulate-up/down
428.217	12.5	45.300000	n/a	n/a
446.25	11.0	n/a	151.000000	n/a
463.486	12.5	45.300000	n/a	n/a
482.516	11.0	n/a	130.000000	n/a
500.749	12.5	46.300000	n/a	n/a
520.777	11.0	n/a	144.000000	n/a
540.007	12.5	46.300000	n/a	n/a
558.04	11.0	n/a	146.000000	n/a
574.262	12.5	45.300000	n/a	n/a
595.287	11.0	n/a	120.000000	n/a
612.522	12.5	44.300000	n/a	n/a
631.536	11.0	n/a	105.000000	n/a
648.772	12.5	44.300000	n/a	n/a
665.791	11.0	n/a	9.000000	n/a
684.024	12.5	43.300000	n/a	n/a
701.027	11.0	n/a	43.000000	n/a
721.254	12.5	43.300000	n/a	n/a
740.268	11.0	n/a	42.000000	n/a
758.501	12.5	42.300000	n/a	n/a
778.512	11.0	n/a	31.000000	n/a
796.739	12.5	42.300000	n/a	n/a
814.756	11.0	n/a	19.000000	n/a
