onset	duration	temperature	ratings	regulate-up/down
1646.217	12.5	45.300000	n/a	n/a
1663.236	11.0	n/a	115.000000	n/a
1680.471	12.5	44.300000	n/a	n/a
1699.485	11.0	n/a	105.000000	n/a
1716.721	12.5	45.300000	n/a	n/a
1736.749	11.0	n/a	114.000000	n/a
1752.97	12.5	47.300000	n/a	n/a
1769.973	11.0	n/a	138.000000	n/a
1788.206	12.5	45.300000	n/a	n/a
1806.239	11.0	n/a	122.000000	n/a
1825.469	12.5	46.300000	n/a	n/a
1844.483	11.0	n/a	120.000000	n/a
1862.716	12.5	46.300000	n/a	n/a
1880.749	11.0	n/a	116.000000	n/a
1898.982	12.5	44.300000	n/a	n/a
1919.009	11.0	n/a	101.000000	n/a
1936.245	12.5	43.300000	n/a	n/a
1955.275	11.0	n/a	80.000000	n/a
1975.503	12.5	47.300000	n/a	n/a
1996.528	11.0	n/a	140.000000	n/a
2014.76	12.5	43.300000	n/a	n/a
2032.777	11.0	n/a	103.000000	n/a
