onset	duration	temperature	ratings	regulate-up/down
428.216	12.5	45.300000	n/a	n/a
447.246	11.0	n/a	164.000000	n/a
467.474	12.5	43.300000	n/a	n/a
485.507	11.0	n/a	72.000000	n/a
502.743	12.5	44.300000	n/a	n/a
521.773	11.0	n/a	75.000000	n/a
537.995	12.5	45.300000	n/a	n/a
554.998	11.0	n/a	108.000000	n/a
572.234	12.5	45.300000	n/a	n/a
592.262	11.0	n/a	109.000000	n/a
610.494	12.5	44.300000	n/a	n/a
628.511	11.0	n/a	75.000000	n/a
646.744	12.5	46.300000	n/a	n/a
664.761	11.0	n/a	158.000000	n/a
683.991	12.5	43.300000	n/a	n/a
705.0	11.0	n/a	50.000000	n/a
722.235	12.5	46.300000	n/a	n/a
741.249	11.0	n/a	140.000000	n/a
759.482	12.5	42.300000	n/a	n/a
779.493	11.0	n/a	20.000000	n/a
797.726	12.5	42.300000	n/a	n/a
814.729	11.0	n/a	15.000000	n/a
