onset	duration	temperature	ratings	regulate-up/down
2864.216	12.5	42.100000	n/a	n/a
2883.23	11.0	n/a	14.000000	n/a
2901.463	12.5	40.800000	n/a	n/a
2921.474	11.0	n/a	9.000000	n/a
2938.71	12.5	43.400000	n/a	n/a
2956.727	11.0	n/a	14.000000	n/a
2974.96	12.5	42.100000	n/a	n/a
2992.993	11.0	n/a	5.000000	n/a
3012.223	12.5	46.000000	n/a	n/a
3033.232	11.0	n/a	123.000000	n/a
3049.453	12.5	46.000000	n/a	n/a
3066.456	11.0	n/a	74.000000	n/a
3083.692	12.5	43.400000	n/a	n/a
3101.709	11.0	n/a	50.000000	n/a
3121.936	12.5	44.700000	n/a	n/a
3138.939	11.0	n/a	35.000000	n/a
3157.172	12.5	44.700000	n/a	n/a
3177.2	11.0	n/a	45.000000	n/a
3195.433	12.5	40.800000	n/a	n/a
3214.463	11.0	n/a	15.000000	n/a
3231.699	12.5	42.100000	n/a	n/a
3250.73	11.0	n/a	7.000000	n/a
