onset	duration	temperature	ratings	regulate-up/down
428.216	12.5	45.300000	n/a	n/a
445.235	11.0	n/a	127.000000	n/a
463.468	12.5	46.300000	n/a	n/a
482.498	11.0	n/a	130.000000	n/a
499.734	12.5	43.300000	n/a	n/a
516.753	11.0	n/a	76.000000	n/a
534.986	12.5	43.300000	n/a	n/a
553.019	11.0	n/a	83.000000	n/a
570.254	12.5	42.300000	n/a	n/a
588.271	11.0	n/a	64.000000	n/a
607.501	12.5	45.300000	n/a	n/a
628.526	11.0	n/a	93.000000	n/a
646.758	12.5	45.300000	n/a	n/a
665.772	11.0	n/a	91.000000	n/a
684.005	12.5	44.300000	n/a	n/a
704.033	11.0	n/a	85.000000	n/a
723.263	12.5	46.300000	n/a	n/a
742.293	11.0	n/a	111.000000	n/a
762.52	12.5	44.300000	n/a	n/a
780.537	11.0	n/a	90.000000	n/a
796.758	12.5	42.300000	n/a	n/a
816.769	11.0	n/a	62.000000	n/a
