onset	duration	temperature	ratings	regulate-up/down
428.216	12.5	45.300000	n/a	n/a
449.241	11.0	n/a	200.000000	n/a
468.471	12.5	46.300000	n/a	n/a
486.504	11.0	n/a	200.000000	n/a
504.737	12.5	45.300000	n/a	n/a
521.74	11.0	n/a	190.000000	n/a
540.97	12.5	43.300000	n/a	n/a
560.998	11.0	n/a	110.000000	n/a
578.233	12.5	42.300000	n/a	n/a
598.244	11.0	n/a	47.000000	n/a
616.477	12.5	44.300000	n/a	n/a
635.491	11.0	n/a	121.000000	n/a
655.718	12.5	46.300000	n/a	n/a
674.732	11.0	n/a	200.000000	n/a
692.965	12.5	43.300000	n/a	n/a
710.982	11.0	n/a	54.000000	n/a
728.217	12.5	42.300000	n/a	n/a
747.231	11.0	n/a	17.000000	n/a
763.453	12.5	45.300000	n/a	n/a
780.456	11.0	n/a	187.000000	n/a
798.689	12.5	44.300000	n/a	n/a
816.722	11.0	n/a	107.000000	n/a
