onset	duration	temperature	ratings	regulate-up/down
1646.216	12.5	45.300000	n/a	n/a
1663.219	11.0	n/a	194.000000	n/a
1681.452	12.5	46.300000	n/a	n/a
1700.482	11.0	n/a	200.000000	n/a
1717.718	12.5	47.300000	n/a	n/a
1737.746	11.0	n/a	200.000000	n/a
1757.973	12.5	43.300000	n/a	n/a
1775.99	11.0	n/a	158.000000	n/a
1793.225	12.5	43.300000	n/a	n/a
1811.242	11.0	n/a	94.000000	n/a
1829.475	12.5	47.300000	n/a	n/a
1848.505	11.0	n/a	200.000000	n/a
1865.741	12.5	45.300000	n/a	n/a
1886.766	11.0	n/a	194.000000	n/a
1904.999	12.5	45.300000	n/a	n/a
1924.029	11.0	n/a	200.000000	n/a
1943.259	12.5	44.300000	n/a	n/a
1961.276	11.0	n/a	187.000000	n/a
1977.498	12.5	44.300000	n/a	n/a
1997.526	11.0	n/a	162.000000	n/a
2015.758	12.5	46.300000	n/a	n/a
2032.761	11.0	n/a	200.000000	n/a
