onset	duration	temperature	ratings	regulate-up/down
2064.216	12.5	44.300000	n/a	n/a
2083.23	11.0	n/a	153.000000	n/a
2102.46	12.5	47.300000	n/a	n/a
2120.477	11.0	n/a	200.000000	n/a
2138.71	12.5	43.300000	n/a	n/a
2156.743	11.0	n/a	92.000000	n/a
2173.979	12.5	46.300000	n/a	n/a
2195.004	11.0	n/a	188.000000	n/a
2212.239	12.5	46.000000	n/a	n/a
2231.253	11.0	n/a	190.000000	n/a
2248.489	12.5	44.300000	n/a	n/a
2265.508	11.0	n/a	38.000000	n/a
2283.741	12.5	45.300000	n/a	n/a
2303.752	11.0	n/a	140.000000	n/a
2321.985	12.5	43.300000	n/a	n/a
2341.996	11.0	n/a	1.000000	n/a
2360.229	12.5	44.300000	n/a	n/a
2377.232	11.0	n/a	88.000000	n/a
2397.459	12.5	45.300000	n/a	n/a
2415.476	11.0	n/a	166.000000	n/a
2431.698	12.5	47.300000	n/a	n/a
2450.728	11.0	n/a	200.000000	n/a
