onset	duration	temperature	ratings	regulate-up/down
2064.216	12.5	44.300000	n/a	n/a
2081.235	11.0	n/a	125.000000	n/a
2098.471	12.5	46.300000	n/a	n/a
2117.485	11.0	n/a	131.000000	n/a
2133.707	12.5	45.300000	n/a	n/a
2151.724	11.0	n/a	125.000000	n/a
2169.956	12.5	47.300000	n/a	n/a
2187.973	11.0	n/a	140.000000	n/a
2207.203	12.5	44.300000	n/a	n/a
2226.217	11.0	n/a	110.000000	n/a
2245.447	12.5	44.300000	n/a	n/a
2264.461	11.0	n/a	116.000000	n/a
2282.694	12.5	46.300000	n/a	n/a
2300.711	11.0	n/a	135.000000	n/a
2317.947	12.5	43.300000	n/a	n/a
2334.966	11.0	n/a	112.000000	n/a
2353.199	12.5	43.300000	n/a	n/a
2373.21	11.0	n/a	97.000000	n/a
2390.446	12.5	47.300000	n/a	n/a
2410.457	11.0	n/a	150.000000	n/a
2428.69	12.5	45.300000	n/a	n/a
2449.699	11.0	n/a	143.000000	n/a
