onset	duration	temperature	ratings	regulate-up/down
428.216	12.5	45.300000	n/a	n/a
449.224	11.0	n/a	145.000000	n/a
466.46	12.5	43.300000	n/a	n/a
486.471	11.0	n/a	122.000000	n/a
503.707	12.5	46.300000	n/a	n/a
521.724	11.0	n/a	139.000000	n/a
539.957	12.5	42.300000	n/a	n/a
556.976	11.0	n/a	116.000000	n/a
574.212	12.5	45.300000	n/a	n/a
591.231	11.0	n/a	124.000000	n/a
610.461	12.5	45.300000	n/a	n/a
628.478	11.0	n/a	119.000000	n/a
646.711	12.5	46.300000	n/a	n/a
665.725	11.0	n/a	139.000000	n/a
681.947	12.5	43.300000	n/a	n/a
701.975	11.0	n/a	110.000000	n/a
720.208	12.5	44.300000	n/a	n/a
739.238	11.0	n/a	112.000000	n/a
759.465	12.5	44.300000	n/a	n/a
777.482	11.0	n/a	115.000000	n/a
795.715	12.5	42.300000	n/a	n/a
814.729	11.0	n/a	96.000000	n/a
