onset	duration	temperature	ratings	regulate-up/down
3282.216	12.5	42.300000	n/a	n/a
3302.244	11.0	n/a	10.000000	n/a
3319.479	12.5	42.300000	n/a	n/a
3338.493	11.0	n/a	15.000000	n/a
3356.726	12.5	43.300000	n/a	n/a
3375.757	11.0	n/a	1.000000	n/a
3393.989	12.5	46.300000	n/a	n/a
3410.992	11.0	n/a	127.000000	n/a
3428.228	12.5	46.300000	n/a	n/a
3446.245	11.0	n/a	115.000000	n/a
3465.474	12.5	45.300000	n/a	n/a
3486.483	11.0	n/a	5.000000	n/a
3502.705	12.5	44.300000	n/a	n/a
3520.738	11.0	n/a	1.000000	n/a
3537.974	12.5	45.300000	n/a	n/a
3557.004	11.0	n/a	7.000000	n/a
3577.231	12.5	43.300000	n/a	n/a
3597.243	11.0	n/a	1.000000	n/a
3615.475	12.5	44.300000	n/a	n/a
3633.492	11.0	n/a	3.000000	n/a
3651.725	12.5	42.300000	n/a	n/a
3668.744	11.0	n/a	0.000000	n/a
